,stop_name,stop_lat,stop_lon
0,BUCKNAM RD + 8 BUCKNAM,43.726138,-70.233042
1,ROCK,43.677532,-70.332847
2,VERANDA ST + OLYMPIA,43.686475,-70.251138
3,SACO ST + PROSPECT,43.669862,-70.373248
4,DEERING,43.678608,-70.288449
5,WASHINGTON AVE + SHEPHERD,43.7098,-70.29757
6,BRIGHTON AVE + 416 BRIGHTON,43.666317,-70.294988
7,WESTBROOK,43.676387,-70.355149
8,FORESIDE RD + MEADOW CREEK,43.724385,-70.223982
9,MAIN ST + 800 MAIN,43.676278,-70.363781
10,WASHINGTON AVE + BREWSTER,43.700898,-70.289248
11,WESTBROOK CITY,43.678606,-70.338619
12,MAIN ST + DUNN,43.677503,-70.359677
14,WASHINGTON AVE + EASTERN,43.670328,-70.255036
16,BRIGHTON AVE + ROWE,43.673856,-70.3182
17,BROWN ST + BRIDGE,43.67882,-70.367496
18,WASHINGTON AVE + SUMMITT,43.720282,-70.299196
20,AUBURN ST + HILLSIDE,43.71577,-70.292253
21,VERANDA ST + FAIRFIELD,43.683644,-70.254282
23,MAIN ST + 380 MAIN,43.680909,-70.346112
24,WASHINGTON AVE + W. KIDDER,43.684462,-70.265878
25,VERANDA ST + SHERWOOD,43.681634,-70.256394
26,ALLEN AVE + 50 ALLEN,43.690237,-70.293389
27,ALLEN AVE + FOREST,43.689121,-70.293475
28,WESTGATE,43.658798,-70.296044
32,ALLEN AVE + 97 ALLEN,43.69192,-70.292724
34,IRIS,43.656123,-70.27538
35,ROUTE 1 + GREENWAY,43.698215,-70.24141
36,FOREST AVE + 1300 FOREST,43.689949,-70.296717
38,AUBURN ST + SANBORN,43.704135,-70.289685
39,CONGRESS ST + WALKER,43.653023,-70.269721
40,WASHINGTON AVE + EAST KIDDER,43.684539,-70.265784
42,WASHINGTON AVE + NORTHPORT,43.698698,-70.287088
43,JOHNSON RD + BARTLETT,43.736158,-70.210753
44,FOREST AVE + BAXTER,43.663606,-70.272532
45,BRIGHTON AVE + 1072 BRIGHTON,43.674746,-70.323258
47,FOREST AVE + 1494 FOREST,43.695028,-70.30382
48,GRAY RD + 60 GRAY,43.731366,-70.296314
50,WASHINGTON AVE + WALNUT,43.66842,-70.253744
51,BRIGHTON AVE + BOLTON,43.664102,-70.287168
52,INDIA ST + 103 INDIA,43.661844,-70.251979
54,CUMBERLAND AVE + ELM,43.658857,-70.260065
55,BUCKNAM RD + MIDDLE,43.729325,-70.240593
59,BRIGHTON AVE + EDGEWORTH,43.669812,-70.304283
61,CONGRESS ST + BOODY,43.658834,-70.298475
62,ST JOHN ST + D,43.649369,-70.278771
64,JOHN ROBERTS RD + PHILBROOK,43.630787,-70.331412
66,CONGRESS ST + MITTON,43.658122,-70.292998
68,100 STATE,43.650935,-70.263206
70,FOREST AVE + 1854 FOREST,43.699919,-70.31802
71,VERANDA ST + FAYETTE,43.684632,-70.253304
73,FOREST AVE + WAVERLY ,43.683152,-70.290897
74,DANFORTH ST + STATE,43.650363,-70.26141
76,OCEANVIE,43.723536,-70.250772
77,FOREST AVE + 1289 FOREST,43.690087,-70.296609
78,FORESIDE RD + MUSSEL COVE,43.721441,-70.226235
80,FOREST AVE + BELMONT,43.668593,-70.280625
81,FOREST AVE + 1837 FOREST,43.700024,-70.317875
82,PORTLAND ST + FOREST,43.657819,-70.266012
83,BLUEBERRY LN + WHIPPLE FARM,43.720802,-70.24988
85,MECHANIC ST + WEST VALENTINE,43.673107,-70.370047
86,RSV,43.678556,-70.288199
88,WASHINGTON AVE + 1133 WASHINGTON,43.692545,-70.28153
90,MIDDLE ST + FRANKLIN,43.659151,-70.251797
91,WASHINGTON AVE + 1751 WASHINGTON,43.709726,-70.297348
92,LUNT RD + COMMUNITY,43.725158,-70.245259
93,WASHINGTON AVE + CANCO,43.690888,-70.278337
94,WASHINGTON AVE + VERANDA,43.680655,-70.258172
95,FOREST AVE + RIVERSIDE INDUSTRIAL,43.699379,-70.31452
96,ROUTE 1 + 183 ROUTE,43.715299,-70.233422
97,STEVENS AVE + 716 STEVENS,43.682629,-70.294037
98,STEVENS AVE + 500 STEVENS,43.675702,-70.294924
99,ROUTE 1 + PHILLIPS,43.698823,-70.240837
101,WASHINGTON AVE + CHURCHILL,43.681475,-70.259787
103,FOREST AVE + PARK,43.657993,-70.266553
104,BRIGHTON AVE + STEVENS,43.666477,-70.29506
107,DANFORTH ST + SCHOOL,43.647592,-70.265254
108,WASHINGTON AVE + CONGRESS,43.663888,-70.251265
109,QUIMBY AVE + SACO,43.676089,-70.371413
110,WASHINGTON AVE + SANBORN,43.703566,-70.291417
111,FOREST AVE + WILLIAM,43.666023,-70.276875
112,BRIGHTON AVE + PITT,43.662549,-70.281425
113,STEVENS AVE + RACKLEFF,43.669025,-70.294897
114,CONGRESS ST + CENTER,43.656861,-70.259779
116,FORESIDE RD + 154 FORESIDE,43.726031,-70.219833
117,DEPOT RD + 33 DEPOT,43.721261,-70.23112
118,MAIN ST + 140 MAIN,43.678014,-70.335889
119,JOHNSON RD + TIME WARNER,43.648571,-70.325657
120,INDIA ST + 65 INDIA,43.660709,-70.250347
121,BRIDGE ST + DANA,43.678319,-70.367113
123,WASHINGTON AVE +,43.702965,-70.291079
124,CONGRESS ST + CASCO,43.656208,-70.260873
126,FOREST AVE + BEDFORD,43.663484,-70.272745
130,FOREST AVE + DARTMOUTH,43.66688,-70.278279
131,HARNOIS AVE + MAIN,43.681746,-70.350794
132,WASHINGTON AVE + E.,43.670244,-70.255217
133,AUBURN ST + 92 AUBURN,43.702506,-70.289111
134,FOREST AVE + ARLINGTON,43.66955,-70.282161
135,FODEN RD + WESTERN,43.638409,-70.325394
137,FOREST AVE + FALMOUTH,43.664756,-70.274896
139,CONGRESS ST + SHERIDAN,43.664658,-70.249257
140,WASHINGTON AVE + RAY,43.690923,-70.278055
142,MAIN ST + 250 MAIN,43.679147,-70.341001
143,PARK AVE + WEYMOUTH,43.655741,-70.276748
144,SAGAMORE VILLAGE,43.674614,-70.321625
145,IDEX,43.662081,-70.372662
146,WESTBROOK HUB,43.676801,-70.368711
147,MAIN ST + 668 MAIN,43.678164,-70.357844
148,GRAY RD + 25 GRAY,43.72605,-70.29449
149,FORE RIVER PARKWAY + FEDERIC,43.652255,-70.285754
150,MORRILL'S,43.686735,-70.293487
151,WASHINGTON AVE + FOX,43.667657,-70.253486
152,BRIGHTON AVE + BEACON,43.664033,-70.28641
153,CONGRESS ST + HAMPSHIRE,43.660984,-70.253674
155,BUCKNAM RD + 4 BUCKNAM,43.726324,-70.232951
156,FOREST AVE + LINCOLN,43.669285,-70.282151
158,FOREST AVE + POLAND,43.684406,-70.291584
159,CONGRESS ST + 690 CONGRESS,43.652991,-70.267801
161,VERANDA ST + KENSINGTON,43.682986,-70.255114
162,BRACKETT ST + SPRING,43.650011,-70.265261
163,ROUTE 1 + 196 ROUTE,43.717435,-70.233348
164,AUBURN ST + LONGVIEW,43.719356,-70.293077
165,ST JOHN ST + 70 ST JOHN,43.645943,-70.278157
